p2,decile
0.971461697241205,10
0.971461697241205,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701539621104248,10
0.9701217451797874,10
0.9701217451797874,10
0.9700897697977156,10
0.9700897697977156,10
0.9700897697977156,10
0.9700897697977156,10
0.9700897697977156,10
